,,
,,
IAB Tech Lab common license,,
Content Taxonomy version 2.2,,
Relational ID System,,
Unique ID ,Parent,Name
1,,Automotive
2,1,Auto Body Styles
3,2,Commercial Trucks
4,2,Sedan
5,2,Station Wagon
6,2,SUV
7,2,Van
8,2,Convertible
9,2,Coupe
10,2,Crossover
11,2,Hatchback
12,2,Microcar
13,2,Minivan
14,2,Off-Road Vehicles
15,2,Pickup Trucks
16,1,Auto Type
17,16,Budget Cars
18,16,Certified Pre-Owned Cars
19,16,Classic Cars
20,16,Concept Cars
21,16,Driverless Cars
22,16,Green Vehicles
23,16,Luxury Cars
24,16,Performance Cars
25,1,Car Culture
26,1,Dash Cam Videos
27,1,Motorcycles
28,1,Road-Side Assistance
29,1,Scooters
30,1,Auto Buying and Selling
31,1,Auto Insurance
32,1,Auto Parts
33,1,Auto Recalls
34,1,Auto Repair
35,1,Auto Safety
36,1,Auto Shows
37,1,Auto Technology
38,37,Auto Infotainment Technologies
39,37,Auto Navigation Systems
40,37,Auto Safety Technologies
41,1,Auto Rentals
42,,Books and Literature
43,42,Art and Photography Books
44,42,Biographies
45,42,Children's Literature
46,42,Comics and Graphic Novels
47,42,Cookbooks
48,42,Fiction
49,42,Poetry
50,42,Travel Books
51,42,Young Adult Literature
52,,Business and Finance
53,52,Business
54,53,Business Accounting & Finance
55,53,Human Resources
56,53,Large Business
57,53,Logistics
58,53,Marketing and Advertising
59,53,Sales
60,53,Small and Medium-sized Business
61,53,Startups
62,53,Business Administration
63,53,Business Banking & Finance
64,63,Angel Investment
65,63,Bankruptcy
66,63,Business Loans
67,63,Debt Factoring & Invoice Discounting
68,63,Mergers and Acquisitions
69,63,Private Equity
70,63,Sale & Lease Back
71,63,Venture Capital
72,53,Business I.T.
73,53,Business Operations
74,53,Consumer Issues
75,74,Recalls
76,53,Executive Leadership & Management
77,53,Government Business
78,53,Green Solutions
79,53,Business Utilities
80,52,Economy
81,80,Commodities
82,80,Currencies
83,80,Financial Crisis
84,80,Financial Reform
85,80,Financial Regulation
86,80,Gasoline Prices
87,80,Housing Market
88,80,Interest Rates
89,80,Job Market
90,52,Industries
91,90,Advertising Industry
92,90,Education industry
93,90,Entertainment Industry
94,90,Environmental Services Industry
95,90,Financial Industry
96,90,Food Industry
97,90,Healthcare Industry
98,90,Hospitality Industry
99,90,Information Services Industry
100,90,Legal Services Industry
101,90,Logistics and Transportation Industry
102,90,Agriculture
103,90,Management Consulting Industry
104,90,Manufacturing Industry
105,90,Mechanical and Industrial Engineering Industry
106,90,Media Industry
107,90,Metals Industry
108,90,Non-Profit Organizations
109,90,Pharmaceutical Industry
110,90,Power and Energy Industry
111,90,Publishing Industry
112,90,Real Estate Industry
113,90,Apparel Industry
114,90,Retail Industry
115,90,Technology Industry
116,90,Telecommunications Industry
117,90,Automotive Industry
118,90,Aviation Industry
119,90,Biotech and Biomedical Industry
120,90,Civil Engineering Industry
121,90,Construction Industry
122,90,Defense Industry
123,,Careers
124,123,Apprenticeships
125,123,Career Advice
126,123,Career Planning
127,123,Job Search
128,127,Job Fairs
129,127,Resume Writing and Advice
130,123,Remote Working
131,123,Vocational Training
132,,Education
133,132,Adult Education
134,132,Private School
135,132,Secondary Education
136,132,Special Education
137,132,College Education
138,137,College Planning
139,137,Postgraduate Education
140,139,Professional School
141,137,Undergraduate Education
142,132,Early Childhood Education
143,132,Educational Assessment
144,143,Standardized Testing
145,132,Homeschooling
146,132,Homework and Study
147,132,Language Learning
148,132,Online Education
149,132,Primary Education
150,,Events and Attractions
151,150,Amusement and Theme Parks
152,150,Fashion Events
153,150,Historic Site and Landmark Tours
154,150,Malls & Shopping Centers
155,150,Museums & Galleries
156,150,Musicals
157,150,National & Civic Holidays
158,150,Nightclubs
159,150,Outdoor Activities
160,150,Parks & Nature
161,150,Party Supplies and Decorations
162,150,Awards Shows
163,150,Personal Celebrations & Life Events
164,163,Anniversary
165,163,Wedding
166,163,Baby Shower
167,163,Bachelor Party
168,163,Bachelorette Party
169,163,Birth
170,163,Birthday
171,163,Funeral
172,163,Graduation
173,163,Prom
174,150,Political Event
175,150,Religious Events
176,150,Sporting Events
177,150,Theater Venues and Events
178,150,Zoos & Aquariums
179,150,Bars & Restaurants
180,150,Business Expos & Conferences
181,150,Casinos & Gambling
182,150,Cinemas and Events
183,150,Comedy Events
184,150,Concerts & Music Events
185,150,Fan Conventions
186,,Family and Relationships
187,186,Bereavement
188,186,Dating
189,186,Divorce
190,186,Eldercare
191,186,Marriage and Civil Unions
192,186,Parenting
193,192,Adoption and Fostering
194,192,Daycare and Pre-School
195,192,Internet Safety
196,192,Parenting Babies and Toddlers
197,192,Parenting Children Aged 4-11
198,192,Parenting Teens
199,192,Special Needs Kids
200,186,Single Life
201,,Fine Art
202,201,Costume
203,201,Dance
204,201,Design
205,201,Digital Arts
206,201,Fine Art Photography
207,201,Modern Art
208,201,Opera
209,201,Theater
210,,Food & Drink
211,210,Alcoholic Beverages
212,210,Vegan Diets
213,210,Vegetarian Diets
214,210,World Cuisines
215,210,Barbecues and Grilling
216,210,Cooking
217,210,Desserts and Baking
218,210,Dining Out
219,210,Food Allergies
220,210,Food Movements
221,210,Healthy Cooking and Eating
222,210,Non-Alcoholic Beverages
223,,Healthy Living
224,223,Children's Health
225,223,Fitness and Exercise
226,225,Participant Sports
227,225,Running and Jogging
228,223,Men's Health
229,223,Nutrition
230,223,Senior Health
231,223,Weight Loss
232,223,Wellness
233,232,Alternative Medicine
234,233,Herbs and Supplements
235,233,Holistic Health
236,232,Physical Therapy
237,232,Smoking Cessation
238,223,Women's Health
239,,Hobbies & Interests
240,239,Antiquing and Antiques
241,239,Magic and Illusion
242,239,Model Toys
243,239,Musical Instruments
244,239,Paranormal Phenomena
245,239,Radio Control
246,239,Sci-fi and Fantasy
247,239,Workshops and Classes
248,239,Arts and Crafts
249,248,Beadwork
250,248,Candle and Soap Making
251,248,Drawing and Sketching
252,248,Jewelry Making
253,248,Needlework
254,248,Painting
255,248,Photography
256,248,Scrapbooking
257,248,Woodworking
258,239,Beekeeping
259,239,Birdwatching
260,239,Cigars
261,239,Collecting
262,261,Comic Books
263,261,Stamps and Coins
264,239,Content Production
265,264,Audio Production
266,264,Freelance Writing
267,264,Screenwriting
268,264,Video Production
269,239,Games and Puzzles
270,269,Board Games and Puzzles
271,269,Card Games
272,269,Roleplaying Games
273,239,Genealogy and Ancestry
274,,Home & Garden
275,274,Gardening
276,274,Remodeling & Construction
277,274,Smart Home
278,274,Home Appliances
279,274,Home Entertaining
280,274,Home Improvement
281,274,Home Security
282,274,Indoor Environmental Quality
283,274,Interior Decorating
284,274,Landscaping
285,274,Outdoor Decorating
286,,Medical Health
287,286,Diseases and Conditions
288,287,Allergies
289,287,"Ear, Nose and Throat Conditions"
290,287,Endocrine and Metabolic Diseases
291,290,Hormonal Disorders
292,290,Menopause
293,290,Thyroid Disorders
294,287,Eye and Vision Conditions
295,287,Foot Health
296,287,Heart and Cardiovascular Diseases
297,287,Infectious Diseases
298,287,Injuries
299,298,First Aid
300,287,Lung and Respiratory Health
301,287,Mental Health
302,287,Reproductive Health
303,302,Birth Control
304,302,Infertility
305,302,Pregnancy
306,287,Blood Disorders
307,287,Sexual Health
308,307,Sexual Conditions
309,287,Skin and Dermatology
310,287,Sleep Disorders
311,287,Substance Abuse
312,287,Bone and Joint Conditions
313,287,Brain and Nervous System Disorders
314,287,Cancer
315,287,Cold and Flu
316,287,Dental Health
317,287,Diabetes
318,287,Digestive Disorders
319,286,Medical Tests
320,286,Pharmaceutical Drugs
321,286,Surgery
322,286,Vaccines
323,286,Cosmetic Medical Services
324,,Movies
325,324,Action and Adventure Movies
326,324,Romance Movies
327,324,Science Fiction Movies
328,324,Special Interest Movies
329,324,Animation Movies
330,324,Comedy Movies
331,324,Crime and Mystery Movies
332,324,Documentary Movies
333,324,Drama Movies
334,324,Family and Children Movies
335,324,Fantasy Movies
336,324,Horror Movies
337,324,World Movies
338,,Music and Audio
339,338,Adult Contemporary Music
340,339,Soft AC Music
341,339,Urban AC Music
342,338,Adult Album Alternative
343,338,Alternative Music
344,338,Children's Music
345,338,Classic Hits
346,338,Classical Music
347,338,College Radio
348,338,Comedy (Music and Audio)
349,338,Contemporary Hits/Pop/Top 40
350,338,Country Music
351,338,Dance and Electronic Music
352,338,World/International Music
353,338,Songwriters/Folk
354,338,Gospel Music
355,338,Hip Hop Music
356,338,Inspirational/New Age Music
357,338,Jazz
358,338,Oldies/Adult Standards
359,338,Reggae
360,338,Blues
361,338,Religious (Music and Audio)
362,338,R&B/Soul/Funk
363,338,Rock Music
364,363,Album-oriented Rock
365,363,Alternative Rock
366,363,Classic Rock
367,363,Hard Rock
368,363,Soft Rock
369,338,"Soundtracks, TV and Showtunes"
370,338,Sports Radio
371,338,Talk Radio
372,371,Business News Radio
373,371,Educational Radio
374,371,News Radio
375,371,News/Talk Radio
376,371,Public Radio
377,338,Urban Contemporary Music
378,338,Variety (Music and Audio)
379,,News and Politics
380,379,Crime
381,379,Disasters
382,379,International News
383,379,Law
384,379,Local News
385,379,National News
386,379,Politics
387,386,Elections
388,386,Political Issues
389,386,War and Conflicts
390,379,Weather
391,,Personal Finance
392,391,Consumer Banking
393,391,Financial Assistance
394,393,Government Support and Welfare
395,393,Student Financial Aid
396,391,Financial Planning
397,391,Frugal Living
398,391,Insurance
399,398,Health Insurance
400,398,Home Insurance
401,398,Life Insurance
402,398,Motor Insurance
403,398,Pet Insurance
404,398,Travel Insurance
405,391,Personal Debt
406,405,Credit Cards
407,405,Home Financing
408,405,Personal Loans
409,405,Student Loans
410,391,Personal Investing
411,410,Hedge Funds
412,410,Mutual Funds
413,410,Options
414,410,Stocks and Bonds
415,391,Personal Taxes
416,391,Retirement Planning
417,391,Home Utilities
418,417,Gas and Electric
419,417,Internet Service Providers
420,417,Phone Services
421,417,Water Services
422,,Pets
423,422,Birds
424,422,Cats
425,422,Dogs
426,422,Fish and Aquariums
427,422,Large Animals
428,422,Pet Adoptions
429,422,Reptiles
430,422,Veterinary Medicine
431,422,Pet Supplies
432,,Pop Culture
433,432,Celebrity Deaths
434,432,Celebrity Families
435,432,Celebrity Homes
436,432,Celebrity Pregnancy
437,432,Celebrity Relationships
438,432,Celebrity Scandal
439,432,Celebrity Style
440,432,Humor and Satire
441,,Real Estate
442,441,Apartments
443,441,Retail Property
444,441,Vacation Properties
445,441,Developmental Sites
446,441,Hotel Properties
447,441,Houses
448,441,Industrial Property
449,441,Land and Farms
450,441,Office Property
451,441,Real Estate Buying and Selling
452,441,Real Estate Renting and Leasing
453,,Religion & Spirituality
454,453,Agnosticism
455,453,Spirituality
456,453,Astrology
457,453,Atheism
458,453,Buddhism
459,453,Christianity
460,453,Hinduism
461,453,Islam
462,453,Judaism
463,453,Sikhism
464,,Science
465,464,Biological Sciences
466,464,Chemistry
467,464,Environment
468,464,Genetics
469,464,Geography
470,464,Geology
471,464,Physics
472,464,Space and Astronomy
473,,Shopping
474,473,Coupons and Discounts
475,473,Flower Shopping
476,473,Gifts and Greetings Cards
477,473,Grocery Shopping
478,473,Holiday Shopping
479,473,Household Supplies
480,473,Lotteries and Scratchcards
481,473,Sales and Promotions
482,473,Children's Games and Toys
483,,Sports
484,483,American Football
485,483,Boxing
486,483,Cheerleading
487,483,College Sports
488,487,College Football
489,487,College Basketball
490,487,College Baseball
491,483,Cricket
492,483,Cycling
493,483,Darts
494,483,Disabled Sports
495,483,Diving
496,483,Equine Sports
497,483,Horse Racing
498,483,Extreme Sports
499,498,Canoeing and Kayaking
500,498,Climbing
501,498,Paintball
502,498,Scuba Diving
503,498,Skateboarding
504,498,Snowboarding
505,498,Surfing and Bodyboarding
506,498,Waterskiing and Wakeboarding
507,483,Australian Rules Football
508,483,Fantasy Sports
509,483,Field Hockey
510,483,Figure Skating
511,483,Fishing Sports
512,483,Golf
513,483,Gymnastics
514,483,Hunting and Shooting
515,483,Ice Hockey
516,483,Inline Skating
517,483,Lacrosse
518,483,Auto Racing
519,518,Motorcycle Sports
520,483,Martial Arts
521,483,Olympic Sports
522,521,Summer Olympic Sports
523,521,Winter Olympic Sports
524,483,Poker and Professional Gambling
525,483,Rodeo
526,483,Rowing
527,483,Rugby
528,527,Rugby League
529,527,Rugby Union
530,483,Sailing
531,483,Skiing
532,483,Snooker/Pool/Billiards
533,483,Soccer
534,483,Badminton
535,483,Softball
536,483,Squash
537,483,Swimming
538,483,Table Tennis
539,483,Tennis
540,483,Track and Field
541,483,Volleyball
542,483,Walking
543,483,Water Polo
544,483,Weightlifting
545,483,Baseball
546,483,Wrestling
547,483,Basketball
548,483,Beach Volleyball
549,483,Bodybuilding
550,483,Bowling
551,483,Sports Equipment
552,,Style & Fashion
553,552,Beauty
554,553,Hair Care
555,553,Makeup and Accessories
556,553,Nail Care
557,553,Natural and Organic Beauty
558,553,Perfume and Fragrance
559,553,Skin Care
560,552,Women's Fashion
561,560,Women's Accessories
562,561,Women's Glasses
563,561,Women's Handbags and Wallets
564,561,Women's Hats and Scarves
565,561,Women's Jewelry and Watches
566,560,Women's Clothing
567,566,Women's Business Wear
568,566,Women's Casual Wear
569,566,Women's Formal Wear
570,566,Women's Intimates and Sleepwear
571,566,Women's Outerwear
572,566,Women's Sportswear
573,560,Women's Shoes and Footwear
574,552,Body Art
